"sensor_name","sensor_id","date_installed","tidally_influenced","date_removed","street_name","borough","zipcode","community_board","council_district","census_tract","nta","latitude","longitude","lowest_point_height_delta_inches","location"
"BK - Georgia Ave/ Livonia Ave","BK-livonia-ave-georgia-ave-2tzr8o","2026-03-06T00:00:00.000","No",,"Georgia Avenue","Brooklyn","11207","305","BK05","3112600","BK0503","40.664423","-73.895839","7.95","POINT (-73.895839 40.664423)"
"Q - Roosevelt Ave/Prince St","Q-roosevelt-ave-prince-st-2t7spo","2026-02-19T00:00:00.000","No",,"Roosevelt Avenue","Queens","11354","407","QN07","4087100","QN0707","40.758898","-73.832241","6.5","POINT (-73.832241 40.758898)"
"BK - Lott Ave/Thatford Ave","BK-lott-ave-thatford-ave-2tzqlc","2026-03-06T00:00:00.000","No",,"Lott Avenue","Brooklyn","11212","316","BK16","3092000","BK1602","40.658076","-73.90676","8.19","POINT (-73.90676 40.658076)"
"BK - Linden Blvd/Vermont St","BK-vermont-st-linden-blvd-2tzqx0","2026-03-06T00:00:00.000","No",,"Linden Boulevard","Brooklyn","11207","305","BK05","3110400","BK0503","40.659197","-73.888368","11.42","POINT (-73.888368 40.659197)"
"BK - Halsey St/Saratoga Ave","BK-halsey-st-saratoga-ave-2tzmno","2026-03-06T00:00:00.000","No",,"Halsey Street","Brooklyn","11233","303","BK03","3037700","BK0302","40.685532","-73.917807","6.97","POINT (-73.917807 40.685532)"
"BK - Brooklyn Ave/St Marks Ave","BK-saint-marks-ave-brooklyn-ave-2tzmc0","2026-03-06T00:00:00.000","No",,"Brooklyn Avenue","Brooklyn","11213","308","BK08","3034100","BK0802","40.674788","-73.944409","6.14","POINT (-73.944409 40.674788)"
"BK - Saratoga Ave/Bainbridge St","BK-saratoga-ave-bainbridge-st-2tzmxo","2026-03-06T00:00:00.000","No",,"Saratoga Avenue","Brooklyn","11233","303","BK03","3037700","BK0302","40.682639","-73.917221","7.44","POINT (-73.917221 40.682639)"
"BK - Dumont Ave/Hendrix St","BK-dumont-ave-hendrix-st-215zzc","2024-08-23T00:00:00.000","No",,"Dumont Avenue","Brooklyn","11207","305","BK05","3112400","BK0503","40.667195","-73.888024","11.42","POINT (-73.888024 40.667195)"
"Q - 44th Ave/11th St","Q-44th-ave-111th-st-2t7sfo","2026-02-19T00:00:00.000","No",,"111th Street","Queens","11368","404","QN04","4039901","QN0402","40.749077","-73.854391","8.19","POINT (-73.854391 40.749077)"
"Q - 24th Rd/160th St","Q-160th-st-24th-rd-2t7t4o","2026-02-19T00:00:00.000","No",,"24th Road","Queens","11357","407","QN07","4105900","QN0704","40.775542","-73.803981","11.18","POINT (-73.803981 40.775542)"
"BK - Junius St/Sutter Ave","BK-junius-st-sutter-ave-1dnf80","2023-05-24T00:00:00.000","No",,"Junius Street","Brooklyn","11212","316","BK16","3090800","BK1602","40.668742","-73.902658","13.43","POINT (-73.902658 40.668742)"
"BX - Metropolitan Ave/Linden Dr","BX-metropolitan-ave-linden-dr-2lnmzc","2025-09-25T00:00:00.000","No",,"Metropolitan Avenue","Bronx","10462","209","BX09","2021001","BX0904","40.840601","-73.855459","8.78","POINT (-73.855459 40.840601)"
"Q - 147 Drive/ 259 St","Q-147-drive-259-st-1f5ig0","2023-06-22T00:00:00.000","Yes","2023-07-27T00:00:00.000","147th Drive","Queens","11422","413","QN13","4065600","QN1307","40.65572","-73.729558","5.39","POINT (-73.729558 40.65572)"
"M - E 122nd St/3rd","M-e-122nd-st-3rd-1yjns0","2022-11-13T00:00:00.000","No",,"3rd Avenue","Manhattan","10035","111","MN11","1019600","MN1102","40.801601","-73.937485","15.39","POINT (-73.937485 40.801601)"
"BX - Waters Pl/ Fink Ave","BX-roberts-ave-waters-pl-2921jc","2025-01-23T00:00:00.000","No",,"Waters Place","Bronx","10461","211","BX11","2028400","BX1161","40.843944","-73.839728","8.82","POINT (-73.839728 40.843944)"
"BK - Dean St/Utica Ave","BK-dean-st-utica-ave-215zzc","2024-08-23T00:00:00.000","No",,"Utica Avenue","Brooklyn","11233","308","BK08","3030700","BK0802","40.675495","-73.930394","5.28","POINT (-73.930394 40.675495)"
"SI - Targee St/Waverly Pl","SI-waverly-pl-targee-st-2agano","2025-02-19T00:00:00.000","No",,"Targee Street","Staten Island","10304","501","SI01","5002900","SI0102","40.618275","-74.084857","11.1","POINT (-74.084857 40.618275)"
"BX - E 175th St/Webster Ave","BX-e-175th-st-webster-ave-2lnmh0","2025-09-25T00:00:00.000","No",,"East 175th Street","Bronx","10457","205","BX05","2023100","BX0502","40.84574","-73.90224","7.83","POINT (-73.90224 40.84574)"
"BK - Jefferson Ave/ Marcus Garvey Blvd","BK-jefferson-ave-marcus-garvey-blvd-2mfc90","2025-10-10T00:00:00.000","No",,"Jefferson Avenue","Brooklyn","11221","303","BK03","3027500","BK0302","40.68469","-73.93822","9.41","POINT (-73.93822 40.68469)"
"Q - Mowbray Dr/Austin St","Q-mowbray-dr-austin-st-21vxbc","2024-09-06T00:00:00.000","No",,"Austin Street","Queens","11415","409","QN09","4077500","QN0901","40.709929","-73.83033","6.22","POINT (-73.83033 40.709929)"
"Q - 96th St/55th Ave","Q-97th-pl-christie-ave-20q200","2024-08-14T00:00:00.000","No","2024-10-14T00:00:00.000","96th Street","Queens","11368","404","QN04","4044302","QN0402","40.738401","-73.865495","50.16","POINT (-73.865495 40.738401)"
"BX - Harrod Pl/Morrison Ave","BX-morrison-ave-harrod-pl-1vpqc0","2024-05-09T00:00:00.000","No",,"Morrison Avenue","Bronx","10472","209","BX09","2004800","BX0901","40.828874","-73.874293","3.35","POINT (-73.874293 40.828874)"
"BX - E 208th St/Bainbridge Ave","BX-e-208th-st-bainbridge-ave-2calqo","2025-03-27T00:00:00.000","No",,"Bainbridge Avenue","Bronx","10467","207","BX07","2041900","BX0703","40.87781","-73.87977","15.51","POINT (-73.87977 40.87781)"
"SI - Jewett Ave/Castleton Ave","SI-jewett-ave-castleton-ave-0xwr80","2022-07-22T00:00:00.000","No",,"Jewett Avenue","Staten Island","10302","501","SI01","5013302","SI0106","40.633346","-74.129583","9.25","POINT (-74.129583 40.633346)"
"Q - Hendrickson Pl/166th St","Q-hendrickson-pl-166th-st-1x5fg0","2024-06-06T00:00:00.000","No",,"Hendrickson Place","Queens","11433","412","QN12","4025402","QN1202","40.698449","-73.788862","11.73","POINT (-73.788862 40.698449)"
"BK - 19th Ave/77th St","BK-19th-ave-77th-st-20cdbc","2024-08-07T00:00:00.000","No",,"19th Avenue","Brooklyn","11214","311","BK11","3027400","BK1101","40.610849","-73.995451","32.68","POINT (-73.995451 40.610849)"
"BX - Home St/Intervale Av","BX-home-st-intervale-av-0pmrg0","2022-02-11T00:00:00.000","No",,"Intervale Avenue","Bronx","10459","203","BX03","2012500","BX0303","40.828263","-73.895037","18.74","POINT (-73.895037 40.828263)"
